"","subject","block","trial","first_trial_in_block","choice1","state","state_prob","choice2","expval_ch","expval_unch","reward"
"arm_43",1,1,33,0,2,2,0.7,2,0.712781882608025,0.808925613365771,1
"arm_44",1,1,34,0,1,2,0.3,2,0.694084030393342,0.82041766304819,1
"arm_45",1,1,35,0,2,2,0.7,2,0.655143091618153,0.820897732245599,0
"arm_19",1,1,36,0,1,1,0.7,1,0.386576526990292,0.15,0
"arm_110",1,1,37,0,2,1,0.3,1,0.375216047266847,0.15,0
"arm_46",1,1,38,0,2,2,0.7,2,0.641663041391297,0.779605868255858,0
"arm_27",1,1,39,0,1,1,0.7,2,0.15,0.418633583347909,0
"arm_313",1,1,40,0,2,2,0.7,1,0.743141089163742,0.653629657322364,1
"arm_314",1,1,41,0,2,2,0.7,1,0.739602328276427,0.620998393481285,1
"arm_315",1,1,42,0,2,2,0.7,1,0.725663508496819,0.638702566152739,1
"arm_111",1,1,43,0,1,1,0.7,1,0.407508986275393,0.251893591214306,1
"arm_316",1,1,44,0,1,2,0.3,1,0.710869868421871,0.700036075950926,1
"arm_112",1,1,45,0,1,1,0.7,1,0.421025906485778,0.267807449209776,1
"arm_317",1,1,46,0,2,2,0.7,1,0.724980172221657,0.711615639671956,1
"arm_28",1,1,47,0,2,1,0.3,2,0.249043568499248,0.418800909620453,0
"arm_318",1,1,48,0,2,2,0.7,1,0.716271094650726,0.721735148009153,1
"arm_113",1,1,49,0,1,1,0.7,1,0.405671691780377,0.224217060027617,0
"arm_114",1,1,50,0,1,1,0.7,1,0.394320846448384,0.230102992101097,1
"arm_319",1,2,1,1,2,2,0.7,1,0.630301613220945,0.690981198940426,0
"arm_115",1,2,2,0,1,1,0.7,1,0.409265575362475,0.297724128790337,1
"arm_47",1,2,3,0,2,2,0.7,2,0.642617574645812,0.628330030544299,0
"arm_116",1,2,4,0,1,1,0.7,1,0.365505014802199,0.286257418800551,1
"arm_29",1,2,5,0,1,1,0.7,2,0.290084193050566,0.353188697869299,0
"arm_48",1,2,6,0,2,2,0.7,2,0.648186117187123,0.595728241539715,1
"arm_320",1,2,7,0,2,2,0.7,1,0.572698434956578,0.620144190447034,1
"arm_117",1,2,8,0,2,1,0.3,1,0.347213159187491,0.245109293125714,0
"arm_118",1,2,9,0,1,1,0.7,1,0.370989221320241,0.251026597658731,0
"arm_210",1,2,10,0,1,1,0.7,2,0.229995796566315,0.409105912286147,0
"arm_119",1,2,11,0,2,1,0.3,1,0.426376228986611,0.24565033973724,1
"arm_49",1,2,12,0,2,2,0.7,2,0.605921400887644,0.644568752872748,0
"arm_120",1,2,13,0,1,1,0.7,1,0.411836787384408,0.215689371429802,0
"arm_211",1,2,14,0,1,1,0.7,2,0.179061258835738,0.427695735430651,0
"arm_321",1,2,15,0,2,2,0.7,1,0.714763276265456,0.56986367056403,1
"arm_322",1,2,16,0,2,2,0.7,1,0.743185623079979,0.605940665726416,1
"arm_323",1,2,17,0,1,2,0.3,1,0.73490584931272,0.619902375624092,1
"arm_410",1,2,18,0,1,2,0.3,2,0.599809635086967,0.764892332677055,0
"arm_324",1,2,19,0,1,2,0.3,1,0.766955919656842,0.592998147900146,1
"arm_121",1,2,20,0,2,1,0.3,1,0.388623008068196,0.224233584166644,0
"arm_325",1,2,21,0,2,2,0.7,1,0.779882047377851,0.611833403567202,1
"arm_122",1,2,22,0,1,1,0.7,1,0.37838590946676,0.15,1
"arm_123",1,2,23,0,2,1,0.3,1,0.352523853586084,0.15,1
"arm_124",1,2,24,0,1,1,0.7,1,0.377559563676441,0.15,0
"arm_326",1,2,25,0,2,2,0.7,1,0.841787447721027,0.62394008410102,1
"arm_327",1,2,26,0,2,2,0.7,1,0.85,0.648165741052743,1
"arm_328",1,2,27,0,2,2,0.7,1,0.85,0.648069217139444,1
"arm_329",1,2,28,0,2,2,0.7,1,0.839122936293603,0.650650152140271,1
"arm_330",1,2,29,0,1,2,0.3,1,0.85,0.66841458019637,1
"arm_331",1,2,30,0,2,2,0.7,1,0.842475023283917,0.651536139896979,1
"arm_125",1,2,31,0,2,1,0.3,1,0.359176499880897,0.178665382702638,1
"arm_332",1,2,32,0,2,2,0.7,1,0.80786461110121,0.720136755030984,1
"arm_333",1,2,33,0,1,2,0.3,1,0.808925613365771,0.712781882608025,0
"arm_411",1,2,34,0,2,2,0.7,2,0.694084030393342,0.82041766304819,1
"arm_334",1,2,35,0,2,2,0.7,1,0.820897732245599,0.655143091618153,1
"arm_412",1,2,36,0,2,2,0.7,2,0.672644390206153,0.799079977796453,1
"arm_335",1,2,37,0,1,2,0.3,1,0.801151045581874,0.651794942483461,0
"arm_126",1,2,38,0,1,1,0.7,1,0.40736310664945,0.157538345403003,0
"arm_413",1,2,39,0,2,2,0.7,2,0.621227512038867,0.760940670352322,1
"arm_414",1,2,40,0,2,2,0.7,2,0.653629657322364,0.743141089163742,0
"arm_415",1,2,41,0,1,2,0.3,2,0.620998393481285,0.739602328276427,0
"arm_336",1,2,42,0,2,2,0.7,1,0.725663508496819,0.638702566152739,1
"arm_337",1,2,43,0,2,2,0.7,1,0.739271130877537,0.65029018290762,1
"arm_338",1,2,44,0,2,2,0.7,1,0.710869868421871,0.700036075950926,0
"arm_212",1,2,45,0,2,1,0.3,2,0.267807449209776,0.421025906485778,1
"arm_339",1,2,46,0,1,2,0.3,1,0.724980172221657,0.711615639671956,0
"arm_213",1,2,47,0,1,1,0.7,2,0.249043568499248,0.418800909620453,1
"arm_416",1,2,48,0,2,2,0.7,2,0.721735148009153,0.716271094650726,0
"arm_127",1,2,49,0,1,1,0.7,1,0.405671691780377,0.224217060027617,1
"arm_417",1,2,50,0,2,2,0.7,2,0.694831874512504,0.728565868493088,0
"arm_214",1,3,1,1,1,1,0.7,2,0.284876391221769,0.385252569266595,0
"arm_215",1,3,2,0,1,1,0.7,2,0.297724128790337,0.409265575362475,1
"arm_340",1,3,3,0,2,2,0.7,1,0.628330030544299,0.642617574645812,0
"arm_216",1,3,4,0,1,1,0.7,2,0.286257418800551,0.365505014802199,0
"arm_341",1,3,5,0,2,2,0.7,1,0.597596461954809,0.676626365424688,0
"arm_418",1,3,6,0,2,2,0.7,2,0.648186117187123,0.595728241539715,1
"arm_419",1,3,7,0,2,2,0.7,2,0.620144190447034,0.572698434956578,1
"arm_420",1,3,8,0,2,2,0.7,2,0.637672487463773,0.60156270175662,1
"arm_128",1,3,9,0,2,1,0.3,1,0.370989221320241,0.251026597658731,1
"arm_421",1,3,10,0,1,2,0.3,2,0.619706954036258,0.617701154274217,1
"arm_129",1,3,11,0,2,1,0.3,1,0.426376228986611,0.24565033973724,1
"arm_217",1,3,12,0,1,1,0.7,2,0.245331387447968,0.437707584038465,1
"arm_422",1,3,13,0,2,2,0.7,2,0.557365720243867,0.652874160524955,0
"arm_423",1,3,14,0,1,2,0.3,2,0.557081176503272,0.671266513715933,1
"arm_218",1,3,15,0,1,1,0.7,2,0.206191544858984,0.420805875805011,0
"arm_219",1,3,16,0,1,1,0.7,2,0.206903465813926,0.376128887386542,0
"arm_424",1,3,17,0,2,2,0.7,2,0.619902375624092,0.73490584931272,1
"arm_425",1,3,18,0,2,2,0.7,2,0.599809635086967,0.764892332677055,1
"arm_426",1,3,19,0,2,2,0.7,2,0.592998147900146,0.766955919656842,1
"arm_427",1,3,20,0,1,2,0.3,2,0.593977598036432,0.788565990612077,0
"arm_428",1,3,21,0,2,2,0.7,2,0.611833403567202,0.779882047377851,0
"arm_429",1,3,22,0,1,2,0.3,2,0.596522585552605,0.821404523915625,1
"arm_430",1,3,23,0,2,2,0.7,2,0.601398313279134,0.818667155459452,1
"arm_431",1,3,24,0,2,2,0.7,2,0.604951019442018,0.822077739336167,0
"arm_130",1,3,25,0,1,1,0.7,1,0.360791761741981,0.185851623887392,0
"arm_432",1,3,26,0,2,2,0.7,2,0.648165741052743,0.85,1
"arm_433",1,3,27,0,2,2,0.7,2,0.648069217139444,0.85,1
"arm_434",1,3,28,0,2,2,0.7,2,0.650650152140271,0.839122936293603,1
"arm_435",1,3,29,0,2,2,0.7,2,0.66841458019637,0.85,1
"arm_131",1,3,30,0,1,1,0.7,1,0.336339251423906,0.157252245979107,1
"arm_132",1,3,31,0,2,1,0.3,1,0.359176499880897,0.178665382702638,0
"arm_220",1,3,32,0,1,1,0.7,2,0.181724160845873,0.367571718057774,0
"arm_133",1,3,33,0,2,1,0.3,1,0.383740434019304,0.198107046205919,0
"arm_221",1,3,34,0,1,1,0.7,2,0.178395068948699,0.370019590791465,0
"arm_436",1,3,35,0,2,2,0.7,2,0.655143091618153,0.820897732245599,1
"arm_134",1,3,36,0,2,1,0.3,1,0.386576526990292,0.15,1
"arm_135",1,3,37,0,2,1,0.3,1,0.375216047266847,0.15,1
"arm_136",1,3,38,0,2,1,0.3,1,0.40736310664945,0.157538345403003,1
"arm_137",1,3,39,0,2,1,0.3,1,0.418633583347909,0.15,0
"arm_437",1,3,40,0,2,2,0.7,2,0.653629657322364,0.743141089163742,1
"arm_438",1,3,41,0,2,2,0.7,2,0.620998393481285,0.739602328276427,1
"arm_138",1,3,42,0,2,1,0.3,1,0.40144125610901,0.231916246520594,0
"arm_139",1,3,43,0,2,1,0.3,1,0.407508986275393,0.251893591214306,0
"arm_140",1,3,44,0,2,1,0.3,1,0.409081800661843,0.243477857712056,0
"arm_439",1,3,45,0,2,2,0.7,2,0.697729241844021,0.688199418916735,0
"arm_440",1,3,46,0,2,2,0.7,2,0.711615639671956,0.724980172221657,1
"arm_441",1,3,47,0,2,2,0.7,2,0.746820766734684,0.721205193145041,1
"arm_141",1,3,48,0,2,1,0.3,1,0.402552110846304,0.234457587175175,0
"arm_142",1,3,49,0,2,1,0.3,1,0.405671691780377,0.224217060027617,1
"arm_222",1,3,50,0,2,1,0.3,2,0.230102992101097,0.394320846448384,0
"arm_143",1,4,1,1,1,1,0.7,1,0.385252569266595,0.284876391221769,0
"arm_223",1,4,2,0,2,1,0.3,2,0.297724128790337,0.409265575362475,1
"arm_224",1,4,3,0,1,1,0.7,2,0.291420147360485,0.389950967391465,0
"arm_144",1,4,4,0,2,1,0.3,1,0.365505014802199,0.286257418800551,0
"arm_145",1,4,5,0,1,1,0.7,1,0.353188697869299,0.290084193050566,1
"arm_442",1,4,6,0,1,2,0.3,2,0.648186117187123,0.595728241539715,0
"arm_443",1,4,7,0,2,2,0.7,2,0.620144190447034,0.572698434956578,0
"arm_342",1,4,8,0,1,2,0.3,1,0.60156270175662,0.637672487463773,0
"arm_343",1,4,9,0,2,2,0.7,1,0.585932620759775,0.609941441980965,0
"arm_225",1,4,10,0,1,1,0.7,2,0.229995796566315,0.409105912286147,0
"arm_344",1,4,11,0,2,2,0.7,1,0.661323197570724,0.639894120536609,1
"arm_345",1,4,12,0,1,2,0.3,1,0.644568752872748,0.605921400887644,1
"arm_226",1,4,13,0,1,1,0.7,2,0.215689371429802,0.411836787384408,0
"arm_346",1,4,14,0,2,2,0.7,1,0.671266513715933,0.557081176503272,1
"arm_347",1,4,15,0,2,2,0.7,1,0.714763276265456,0.56986367056403,1
"arm_348",1,4,16,0,2,2,0.7,1,0.743185623079979,0.605940665726416,1
"arm_349",1,4,17,0,2,2,0.7,1,0.73490584931272,0.619902375624092,1
"arm_146",1,4,18,0,2,1,0.3,1,0.386550289411022,0.252096398760606,1
"arm_147",1,4,19,0,1,1,0.7,1,0.403222178344719,0.225829224534066,0
"arm_350",1,4,20,0,2,2,0.7,1,0.788565990612077,0.593977598036432,1
"arm_351",1,4,21,0,2,2,0.7,1,0.779882047377851,0.611833403567202,1
"arm_352",1,4,22,0,2,2,0.7,1,0.821404523915625,0.596522585552605,1
"arm_353",1,4,23,0,2,2,0.7,1,0.818667155459452,0.601398313279134,1
"arm_354",1,4,24,0,2,2,0.7,1,0.822077739336167,0.604951019442018,1
"arm_355",1,4,25,0,2,2,0.7,1,0.841787447721027,0.62394008410102,1
"arm_356",1,4,26,0,2,2,0.7,1,0.85,0.648165741052743,1
"arm_357",1,4,27,0,2,2,0.7,1,0.85,0.648069217139444,1
"arm_358",1,4,28,0,2,2,0.7,1,0.839122936293603,0.650650152140271,1
"arm_148",1,4,29,0,2,1,0.3,1,0.328207760972645,0.155097280900406,1
"arm_227",1,4,30,0,2,1,0.3,2,0.157252245979107,0.336339251423906,0
"arm_359",1,4,31,0,2,2,0.7,1,0.80710161934536,0.702515891298998,0
"arm_360",1,4,32,0,1,2,0.3,1,0.80786461110121,0.720136755030984,1
"arm_444",1,4,33,0,2,2,0.7,2,0.712781882608025,0.808925613365771,1
"arm_149",1,4,34,0,1,1,0.7,1,0.370019590791465,0.178395068948699,1
"arm_150",1,4,35,0,1,1,0.7,1,0.399356742092644,0.153612375797345,0
"arm_361",1,4,36,0,2,2,0.7,1,0.799079977796453,0.672644390206153,1
"arm_151",1,4,37,0,1,1,0.7,1,0.375216047266847,0.15,1
"arm_362",1,4,38,0,2,2,0.7,1,0.779605868255858,0.641663041391297,1
"arm_152",1,4,39,0,2,1,0.3,1,0.418633583347909,0.15,0
"arm_153",1,4,40,0,2,1,0.3,1,0.39609838709866,0.204868946785959,0
"arm_228",1,4,41,0,1,1,0.7,2,0.194293896323486,0.379019134040965,0
"arm_154",1,4,42,0,1,1,0.7,1,0.40144125610901,0.231916246520594,0
"arm_363",1,4,43,0,2,2,0.7,1,0.739271130877537,0.65029018290762,1
"arm_364",1,4,44,0,2,2,0.7,1,0.710869868421871,0.700036075950926,0
"arm_155",1,4,45,0,2,1,0.3,1,0.421025906485778,0.267807449209776,1
"arm_445",1,4,46,0,2,2,0.7,2,0.711615639671956,0.724980172221657,1
"arm_446",1,4,47,0,1,2,0.3,2,0.746820766734684,0.721205193145041,1
"arm_447",1,4,48,0,2,2,0.7,2,0.721735148009153,0.716271094650726,1
"arm_156",1,4,49,0,2,1,0.3,1,0.405671691780377,0.224217060027617,1
"arm_157",1,4,50,0,2,1,0.3,1,0.394320846448384,0.230102992101097,1
"arm_237",2,1,1,1,1,1,0.7,2,0.284876391221769,0.385252569266595,0
"arm_158",2,1,2,0,2,1,0.3,1,0.409265575362475,0.297724128790337,0
"arm_365",2,1,3,0,2,2,0.7,1,0.628330030544299,0.642617574645812,0
"arm_466",2,1,4,0,2,2,0.7,2,0.66197067710399,0.623234877903638,1
"arm_1110",2,1,5,0,1,1,0.7,1,0.353188697869299,0.290084193050566,0
"arm_2110",2,1,6,0,1,1,0.7,2,0.295145539793113,0.363773831871964,0
"arm_4110",2,1,7,0,1,2,0.3,2,0.620144190447034,0.572698434956578,1
"arm_1210",2,1,8,0,1,1,0.7,1,0.347213159187491,0.245109293125714,0
"arm_4210",2,1,9,0,2,2,0.7,2,0.609941441980965,0.585932620759775,0
"arm_4310",2,1,10,0,2,2,0.7,2,0.619706954036258,0.617701154274217,1
"arm_2210",2,1,11,0,2,1,0.3,2,0.24565033973724,0.426376228986611,0
"arm_238",2,1,12,0,2,1,0.3,2,0.245331387447968,0.437707584038465,1
"arm_1310",2,1,13,0,1,1,0.7,1,0.411836787384408,0.215689371429802,1
"arm_241",2,1,14,0,1,1,0.7,2,0.179061258835738,0.427695735430651,0
"arm_251",2,1,15,0,1,1,0.7,2,0.206191544858984,0.420805875805011,1
"arm_4410",2,1,16,0,1,2,0.3,2,0.605940665726416,0.743185623079979,0
"arm_3110",2,1,17,0,1,2,0.3,1,0.73490584931272,0.619902375624092,1
"arm_3210",2,1,18,0,2,2,0.7,1,0.764892332677055,0.599809635086967,0
"arm_1410",2,1,19,0,1,1,0.7,1,0.403222178344719,0.225829224534066,0
"arm_4510",2,1,20,0,2,2,0.7,2,0.593977598036432,0.788565990612077,0
"arm_467",2,1,21,0,2,2,0.7,2,0.611833403567202,0.779882047377851,0
"arm_261",2,1,22,0,1,1,0.7,2,0.15,0.37838590946676,0
"arm_3310",2,1,23,0,2,2,0.7,1,0.818667155459452,0.601398313279134,1
"arm_3410",2,1,24,0,1,2,0.3,1,0.822077739336167,0.604951019442018,0
"arm_471",2,1,25,0,1,2,0.3,2,0.62394008410102,0.841787447721027,1
"arm_481",2,1,26,0,2,2,0.7,2,0.648165741052743,0.85,1
"arm_491",2,1,27,0,2,2,0.7,2,0.648069217139444,0.85,1
"arm_4101",2,1,28,0,2,2,0.7,2,0.650650152140271,0.839122936293603,0
"arm_4111",2,1,29,0,2,2,0.7,2,0.66841458019637,0.85,0
"arm_159",2,1,30,0,1,1,0.7,1,0.336339251423906,0.157252245979107,0
"arm_3510",2,1,31,0,2,2,0.7,1,0.80710161934536,0.702515891298998,0
"arm_4121",2,1,32,0,1,2,0.3,2,0.720136755030984,0.80786461110121,1
"arm_4131",2,1,33,0,1,2,0.3,2,0.712781882608025,0.808925613365771,1
"arm_271",2,1,34,0,2,1,0.3,2,0.178395068948699,0.370019590791465,0
"arm_4141",2,1,35,0,1,2,0.3,2,0.655143091618153,0.820897732245599,0
"arm_4151",2,1,36,0,2,2,0.7,2,0.672644390206153,0.799079977796453,1
"arm_161",2,1,37,0,1,1,0.7,1,0.375216047266847,0.15,0
"arm_171",2,1,38,0,1,1,0.7,1,0.40736310664945,0.157538345403003,0
"arm_366",2,1,39,0,2,2,0.7,1,0.760940670352322,0.621227512038867,1
"arm_281",2,1,40,0,1,1,0.7,2,0.204868946785959,0.39609838709866,0
"arm_371",2,1,41,0,2,2,0.7,1,0.739602328276427,0.620998393481285,1
"arm_291",2,1,42,0,2,1,0.3,2,0.231916246520594,0.40144125610901,0
"arm_181",2,1,43,0,1,1,0.7,1,0.407508986275393,0.251893591214306,0
"arm_2101",2,1,44,0,1,1,0.7,2,0.243477857712056,0.409081800661843,0
"arm_381",2,1,45,0,2,2,0.7,1,0.688199418916735,0.697729241844021,0
"arm_191",2,1,46,0,1,1,0.7,1,0.410968217545032,0.26504774084518,0
"arm_4161",2,1,47,0,2,2,0.7,2,0.746820766734684,0.721205193145041,0
"arm_4171",2,1,48,0,2,2,0.7,2,0.721735148009153,0.716271094650726,1
"arm_1101",2,1,49,0,2,1,0.3,1,0.405671691780377,0.224217060027617,1
"arm_391",2,1,50,0,1,2,0.3,1,0.728565868493088,0.694831874512504,1
"arm_4181",2,2,1,1,2,2,0.7,2,0.690981198940426,0.630301613220945,1
"arm_2111",2,2,2,0,1,1,0.7,2,0.297724128790337,0.409265575362475,0
"arm_1111",2,2,3,0,2,1,0.3,1,0.389950967391465,0.291420147360485,0
"arm_2121",2,2,4,0,1,1,0.7,2,0.286257418800551,0.365505014802199,0
"arm_3101",2,2,5,0,2,2,0.7,1,0.597596461954809,0.676626365424688,0
"arm_1121",2,2,6,0,1,1,0.7,1,0.363773831871964,0.295145539793113,0
"arm_3111",2,2,7,0,2,2,0.7,1,0.572698434956578,0.620144190447034,0
"arm_1131",2,2,8,0,2,1,0.3,1,0.347213159187491,0.245109293125714,0
"arm_4191",2,2,9,0,2,2,0.7,2,0.609941441980965,0.585932620759775,0
"arm_4201",2,2,10,0,2,2,0.7,2,0.619706954036258,0.617701154274217,0
"arm_4211",2,2,11,0,2,2,0.7,2,0.639894120536609,0.661323197570724,1
"arm_4221",2,2,12,0,2,2,0.7,2,0.605921400887644,0.644568752872748,1
"arm_4231",2,2,13,0,2,2,0.7,2,0.557365720243867,0.652874160524955,0
"arm_4241",2,2,14,0,1,2,0.3,2,0.557081176503272,0.671266513715933,0
"arm_4251",2,2,15,0,1,2,0.3,2,0.56986367056403,0.714763276265456,1
"arm_4261",2,2,16,0,2,2,0.7,2,0.605940665726416,0.743185623079979,1
"arm_4271",2,2,17,0,2,2,0.7,2,0.619902375624092,0.73490584931272,0
"arm_2131",2,2,18,0,2,1,0.3,2,0.252096398760606,0.386550289411022,1
"arm_2141",2,2,19,0,2,1,0.3,2,0.225829224534066,0.403222178344719,0
"arm_4281",2,2,20,0,2,2,0.7,2,0.593977598036432,0.788565990612077,1
"arm_4291",2,2,21,0,1,2,0.3,2,0.611833403567202,0.779882047377851,0
"arm_3121",2,2,22,0,1,2,0.3,1,0.821404523915625,0.596522585552605,1
"arm_4301",2,2,23,0,2,2,0.7,2,0.601398313279134,0.818667155459452,1
"arm_2151",2,2,24,0,1,1,0.7,2,0.15,0.377559563676441,0
"arm_1141",2,2,25,0,2,1,0.3,1,0.360791761741981,0.185851623887392,0
"arm_4311",2,2,26,0,2,2,0.7,2,0.648165741052743,0.85,1
"arm_4321",2,2,27,0,2,2,0.7,2,0.648069217139444,0.85,1
"arm_4331",2,2,28,0,2,2,0.7,2,0.650650152140271,0.839122936293603,1
"arm_4341",2,2,29,0,1,2,0.3,2,0.66841458019637,0.85,1
"arm_1151",2,2,30,0,2,1,0.3,1,0.336339251423906,0.157252245979107,0
"arm_1161",2,2,31,0,1,1,0.7,1,0.359176499880897,0.178665382702638,0
"arm_4351",2,2,32,0,1,2,0.3,2,0.720136755030984,0.80786461110121,1
"arm_1171",2,2,33,0,1,1,0.7,1,0.383740434019304,0.198107046205919,1
"arm_4361",2,2,34,0,1,2,0.3,2,0.694084030393342,0.82041766304819,1
"arm_2161",2,2,35,0,1,1,0.7,2,0.153612375797345,0.399356742092644,0
"arm_1181",2,2,36,0,2,1,0.3,1,0.386576526990292,0.15,0
"arm_1191",2,2,37,0,2,1,0.3,1,0.375216047266847,0.15,0
"arm_3131",2,2,38,0,2,2,0.7,1,0.779605868255858,0.641663041391297,1
"arm_4371",2,2,39,0,2,2,0.7,2,0.621227512038867,0.760940670352322,1
"arm_4381",2,2,40,0,2,2,0.7,2,0.653629657322364,0.743141089163742,1
"arm_4391",2,2,41,0,2,2,0.7,2,0.620998393481285,0.739602328276427,1
"arm_1201",2,2,42,0,2,1,0.3,1,0.40144125610901,0.231916246520594,1
"arm_3141",2,2,43,0,2,2,0.7,1,0.739271130877537,0.65029018290762,1
"arm_1211",2,2,44,0,2,1,0.3,1,0.409081800661843,0.243477857712056,1
"arm_1221",2,2,45,0,1,1,0.7,1,0.421025906485778,0.267807449209776,0
"arm_3151",2,2,46,0,2,2,0.7,1,0.724980172221657,0.711615639671956,1
"arm_2171",2,2,47,0,2,1,0.3,2,0.249043568499248,0.418800909620453,1
"arm_3161",2,2,48,0,1,2,0.3,1,0.716271094650726,0.721735148009153,1
"arm_1231",2,2,49,0,1,1,0.7,1,0.405671691780377,0.224217060027617,1
"arm_3171",2,2,50,0,2,2,0.7,1,0.728565868493088,0.694831874512504,1
"arm_3181",2,3,1,1,1,2,0.3,1,0.630301613220945,0.690981198940426,1
"arm_1241",2,3,2,0,1,1,0.7,1,0.409265575362475,0.297724128790337,0
"arm_2181",2,3,3,0,1,1,0.7,2,0.291420147360485,0.389950967391465,1
"arm_4401",2,3,4,0,2,2,0.7,2,0.66197067710399,0.623234877903638,1
"arm_4411",2,3,5,0,2,2,0.7,2,0.676626365424688,0.597596461954809,1
"arm_2191",2,3,6,0,2,1,0.3,2,0.295145539793113,0.363773831871964,0
"arm_4421",2,3,7,0,2,2,0.7,2,0.620144190447034,0.572698434956578,1
"arm_1251",2,3,8,0,1,1,0.7,1,0.347213159187491,0.245109293125714,1
"arm_4431",2,3,9,0,2,2,0.7,2,0.609941441980965,0.585932620759775,1
"arm_2201",2,3,10,0,2,1,0.3,2,0.229995796566315,0.409105912286147,0
"arm_3191",2,3,11,0,2,2,0.7,1,0.661323197570724,0.639894120536609,0
"arm_4441",2,3,12,0,2,2,0.7,2,0.605921400887644,0.644568752872748,0
"arm_2211",2,3,13,0,1,1,0.7,2,0.215689371429802,0.411836787384408,0
"arm_3201",2,3,14,0,1,2,0.3,1,0.671266513715933,0.557081176503272,0
"arm_2221",2,3,15,0,1,1,0.7,2,0.206191544858984,0.420805875805011,1
"arm_4451",2,3,16,0,2,2,0.7,2,0.605940665726416,0.743185623079979,0
"arm_4461",2,3,17,0,1,2,0.3,2,0.619902375624092,0.73490584931272,1
"arm_2231",2,3,18,0,2,1,0.3,2,0.252096398760606,0.386550289411022,0
"arm_2241",2,3,19,0,1,1,0.7,2,0.225829224534066,0.403222178344719,0
"arm_1261",2,3,20,0,1,1,0.7,1,0.388623008068196,0.224233584166644,0
"arm_4471",2,3,21,0,2,2,0.7,2,0.611833403567202,0.779882047377851,0
"arm_1271",2,3,22,0,1,1,0.7,1,0.37838590946676,0.15,0
"arm_448",2,3,23,0,1,2,0.3,2,0.601398313279134,0.818667155459452,0
"arm_3211",2,3,24,0,2,2,0.7,1,0.822077739336167,0.604951019442018,1
"arm_1281",2,3,25,0,2,1,0.3,1,0.360791761741981,0.185851623887392,1
"arm_3221",2,3,26,0,1,2,0.3,1,0.85,0.648165741052743,1
"arm_1291",2,3,27,0,2,1,0.3,1,0.340449298035087,0.15,0
"arm_3231",2,3,28,0,2,2,0.7,1,0.839122936293603,0.650650152140271,1
"arm_3241",2,3,29,0,2,2,0.7,1,0.85,0.66841458019637,1
"arm_3251",2,3,30,0,1,2,0.3,1,0.842475023283917,0.651536139896979,1
"arm_3261",2,3,31,0,2,2,0.7,1,0.80710161934536,0.702515891298998,1
"arm_3271",2,3,32,0,2,2,0.7,1,0.80786461110121,0.720136755030984,0
